id,full_name,party,gender,state,district,congressional terminology_x,congressional terminology_y,government budget_x,government budget_y,agriculture_x,agriculture_y,border enforcement_x,border enforcement_y,trade policy_x,trade policy_y,military_x,military_y,foreign policy_x,foreign policy_y,financial sector_x,financial sector_y,iraq & afghanistan wars_x,iraq & afghanistan wars_y,sports_x,sports_y,drugs war_x,drugs war_y,veteran affairs_x,veteran affairs_y,energy policy_x,energy policy_y,tobacco_x,tobacco_y,african-americans_x,african-americans_y,environment_x,environment_y,infrastructure & transportation_x,infrastructure & transportation_y,arts_x,arts_y,human rights in china_x,human rights in china_y,secondary education_x,secondary education_y,homeland security_x,homeland security_y,natural disasters_x,natural disasters_y,affordable housing_x,affordable housing_y,worker's rights_x,worker's rights_y,child welfare_x,child welfare_y,healthcare_x,healthcare_y
B001235,Henry Brown,Republican,0,SC,1st,-10.999,13.714,-61.937,2.995,-87.228,1.280,-60.899,0.684,-149.951,0.896,-3.000,7.717,-10.567,1.158,-18.221,0.561,-165.362,1.186,-210.547,0.639,-74.235,0.313,-12.998,16.929,-37.454,2.065,-531.643,0.205,-2.840,3.045,-16.855,4.110,-1.000,7.286,-519.121,0.264,-463.770,0.000,-38.464,2.925,-55.891,2.222,-197.791,1.050,-91.588,0.915,-129.405,1.714,-133.605,1.033,-14.174,10.293
B001236,John Boozman,Republican,0,AR,3rd,-1.000,12.214,-17.606,1.800,-37.615,1.667,-8.311,1.365,-70.779,2.229,-41.578,3.510,-23.343,4.333,-96.628,0.667,-163.091,0.412,-145.635,1.081,-16.191,1.017,-3.000,27.000,-63.406,1.277,-439.840,0.000,-13.343,3.567,-10.787,3.375,-8.996,4.952,-613.669,0.000,-123.358,0.804,-37.746,3.504,-16.985,3.013,-160.728,1.162,-55.174,0.454,-57.029,1.001,-94.998,0.754,-31.937,10.500
B001239,James Barrett,Republican,0,SC,3rd,-20.533,10.288,-5.000,11.786,-226.496,0.106,-96.634,0.002,-55.695,1.125,-22.887,5.786,-40.422,3.674,-13.385,2.993,-3.475,1.702,-60.497,0.809,-329.403,0.209,-18.937,10.286,-15.141,3.643,-366.605,0.000,-25.399,0.935,-16.591,2.609,-6.996,4.950,-233.820,0.361,-28.398,0.207,-106.987,0.295,-53.097,2.841,-114.872,0.731,-200.924,0.533,-8.468,2.032,-73.473,0.744,-25.130,5.213
B001240,Bob Beauprez,Republican,0,CO,7th,-7.000,6.857,-33.533,6.857,-62.376,0.732,-117.025,1.302,-61.156,1.537,-1.000,9.643,-41.839,2.878,-79.273,1.081,-87.511,0.411,-191.117,0.123,-402.142,0.104,-4.963,10.735,-3.000,5.382,-620.057,0.000,-20.615,2.147,-9.860,3.934,-17.099,3.496,-89.132,0.550,-9.456,0.318,-32.535,2.177,-54.170,1.489,-103.328,1.394,-429.203,0.257,-25.865,2.052,-64.666,1.376,-1.000,11.137
B001244,Jo Bonner,Republican,0,AL,1st,-1.000,4.286,-65.491,1.057,-150.754,0.535,-27.884,1.244,-67.769,0.527,-56.191,2.065,-36.316,0.411,-123.424,0.389,-166.370,0.167,-2.995,4.071,-151.423,0.213,-7.000,18.214,-110.302,0.734,-170.669,0.185,-3.522,7.285,-109.549,0.960,-49.010,2.503,-809.774,0.185,-82.112,0.437,-79.430,2.222,-32.267,0.987,-58.318,1.592,-139.870,0.275,-172.332,0.727,-253.300,0.219,-7.933,3.050
B001246,Jeb Bradley,Republican,0,NH,1st,-9.371,22.241,-34.343,3.708,-241.161,0.012,-34.391,2.388,-159.698,0.088,-7.000,12.000,-10.783,6.003,-177.328,0.132,-65.347,0.944,-30.412,2.489,-440.641,0.185,-1.000,21.000,-72.077,1.005,-27.046,0.211,-57.351,2.461,-94.076,1.513,-99.733,1.778,-10.311,0.211,-218.161,0.515,-135.277,1.083,-91.245,1.087,-73.876,1.381,-4.591,1.521,-75.985,1.122,-203.745,0.619,-16.999,18.643
B001248,Michael Burgess,Republican,0,TX,26th,-16.998,21.000,-16.575,5.127,-69.417,1.157,-37.994,1.460,-112.364,0.551,-31.978,1.221,-22.663,1.484,-7.095,1.519,-137.158,0.384,-2.956,2.037,-349.362,0.371,-8.147,4.926,-4.064,2.286,-23.568,0.854,-22.429,3.405,-5.174,0.968,-59.258,1.583,-873.532,0.000,-16.328,0.320,-21.810,2.164,-2.961,5.574,-138.077,1.198,-56.982,0.362,-126.512,0.232,-181.525,0.754,-1.000,57.643
B001249,Max Burns,Republican,0,GA,12th,-16.995,10.714,-17.473,3.596,-26.028,1.878,-101.373,0.255,-108.909,0.587,-33.689,1.333,-52.926,2.658,-2.956,0.784,-133.553,0.570,-4.765,1.287,-21.263,1.159,-12.937,10.717,-122.068,0.000,-867.013,0.173,-2.528,3.735,-14.759,2.522,-19.613,1.346,-352.194,0.364,-23.303,1.179,-1.000,12.643,-64.503,1.188,-194.166,1.085,-137.251,0.862,-9.030,4.107,-3.795,3.873,-3.000,27.000
B001250,Rob Bishop,Republican,0,UT,1st,-12.444,33.220,-38.419,2.408,-118.385,0.795,-37.286,2.962,-5.400,0.166,-3.000,9.643,-19.592,1.310,-251.405,0.429,-98.614,0.343,-93.618,1.297,-555.260,0.151,-22.055,1.987,-3.000,5.168,-560.021,0.000,-8.228,4.266,-3.000,10.500,-4.954,1.354,-600.040,0.157,-351.221,0.000,-23.293,2.936,-31.556,1.598,-205.651,0.237,-188.602,0.380,-92.035,0.313,-20.061,0.374,-4.460,3.692
B001255,Charles Boustany,Republican,0,LA,3rd,-21.396,19.929,-29.524,4.911,-21.908,1.414,-180.956,0.429,-6.893,4.083,-1.116,1.326,-30.292,3.925,-103.833,0.700,-71.075,1.054,-22.377,3.116,-413.260,0.000,-16.934,9.442,-5.000,7.286,-377.911,0.345,-89.855,2.368,-114.842,0.970,-55.149,2.112,-625.826,0.185,-64.519,0.688,-66.625,3.214,-8.923,3.027,-3.000,5.143,-401.581,0.131,-89.797,1.427,-185.036,0.570,-9.000,22.286
B001257,Gus Bilirakis,Republican,0,FL,12th,-3.000,12.214,-27.727,1.469,-60.104,0.204,-64.807,0.569,-12.974,1.439,-6.956,6.835,-7.000,12.000,-84.950,0.874,-202.863,0.854,-60.598,1.179,-228.974,0.334,-20.996,15.857,-40.397,1.039,-559.082,0.189,-107.432,2.136,-21.526,0.802,-18.039,3.306,-982.860,0.000,-79.728,1.172,-89.627,1.763,-6.999,9.000,-2.993,3.251,-103.629,0.922,-66.162,0.370,-37.573,0.884,-1.000,25.714
B001260,Vern Buchanan,Republican,0,FL,16th,-3.000,7.929,-10.403,7.535,-37.444,1.024,-54.470,0.272,-77.050,0.367,-49.349,0.404,-45.807,2.860,-2.171,0.578,-161.279,0.321,-49.388,1.012,-103.606,0.327,-19.375,6.417,-166.701,0.461,-841.206,0.185,-34.061,3.700,-11.302,2.760,-3.000,7.929,-367.618,0.188,-308.072,0.000,-15.836,3.504,-37.678,1.946,-19.327,1.252,-51.380,0.853,-84.821,0.850,-1.000,4.071,-10.549,9.675
B001262,Paul Broun,Republican,0,GA,10th,-2.998,22.929,-1.000,14.357,-164.847,0.428,-30.216,0.967,-36.756,0.911,-48.791,2.593,-66.250,1.223,-53.691,1.674,-100.619,0.360,-164.015,0.865,-13.310,0.312,-14.980,3.308,-5.000,5.382,-801.792,0.042,-60.238,2.184,-76.293,1.208,-210.400,0.643,-558.883,0.169,-442.883,0.000,-17.532,1.059,-52.932,2.415,-72.288,0.539,-239.067,0.249,-99.938,1.101,-80.704,0.738,-1.000,46.714
B001269,Lou Barletta,Republican,0,PA,11th,-1.000,7.500,-63.288,1.366,-371.714,0.214,-17.619,2.025,-149.805,0.471,-28.079,2.711,-87.555,1.002,-191.059,0.742,-144.124,0.445,-30.329,2.872,-46.161,0.402,-8.785,8.804,-33.957,1.389,-422.647,0.185,-33.552,5.134,-120.120,0.973,-44.602,2.073,-635.655,0.000,-272.414,0.371,-19.280,2.948,-14.937,3.018,-4.998,3.643,-136.164,0.682,-202.187,0.643,-74.877,0.898,-32.917,5.786
