id,name,district,term_start,term_end,party,clean_name,stream
C001101,Katherine Clark,Massachusetts's 5th,2013-12-10,2019-01-01,Democratic,katherineclark,82
A000370,Alma Adams,North Carolina's 12th,2014-11-12,2019-01-01,Democratic,almaadams,83
W000820,Mimi Walters,California's 45th,2015-01-03,2019-01-01,Republican,mimiwalters,14
W000822,Bonnie Watson-Coleman,New Jersey's 12th,2015-01-03,2019-01-01,Democratic,bonniewatsoncoleman,22
R000600,Amata Radewagen,American Samoa's at-large,2015-01-03,2019-01-01,Republican,amatacolemanradewagen,29
T000474,Norma Torres,California's 35th,2015-01-03,2019-01-01,Democratic,normatorres,51
S001196,Elise Stefanik,New York's 21st,2015-01-03,2019-01-01,Republican,elisestefanik,67
R000602,Kathleen Rice,New York's 4th,2015-01-03,2019-01-01,Democratic,kathleenrice,71
P000610,Stacey Plaskett,U.S. Virgin Island's at-large,2015-01-03,2019-01-01,Democratic,staceyplaskett,74
G000575,Gwen Graham,Florida's 2nd,2015-01-03,2017-01-03,Democratic,gwengraham,81
L000584,Mia Love,Utah's 4th,2015-01-03,2019-01-01,Republican,mialove,84
L000581,Brenda Lawrence,Michigan's 14th,2015-01-03,2019-01-01,Democratic,brendalawrence,85
D000624,Debbie Dingell,Michigan's 12th,2015-01-03,2019-01-01,Democratic,debbiedingell,86
C001105,Barbara Comstock,Virginia's 10th,2015-01-03,2019-01-01,Republican,barbaracomstock,87
M001197,Martha McSally,Arizona's 2nd,2015-01-03,2019-01-01,Republican,marthamcsally,88
H001050,Colleen Hanabusa,Hawaii's 1st,2016-11-14,2019-01-01,Democratic,colleenhanabusa,89
R000608,Jacky Rosen,Nevada's 3rd,2017-01-03,2019-01-01,Democratic,jackyrosen,1
M001202,Stephanie Murphy,Florida's 7th,2017-01-03,2019-01-01,Democratic,stephaniemurphy,4
J000298,Pramila Jayapal,Washington's 7th,2017-01-03,2019-01-01,Democratic,pramilajayapal,21
G000582,Jenniffer González,Puerto Rico's at-large,2017-01-03,2019-01-01,Republican,jenniffergonzc3a1lez,42
B001303,Lisa Blunt-Rochester,Delaware at-large,2017-01-03,2019-01-01,Democratic,lisabluntrochester,46
C001109,Liz Cheney,Wyoming's at-large,2017-01-03,2019-01-01,Republican,lizcheney,54
B001300,Nanette Barragán,California's 44th,2017-01-03,2019-01-01,Democratic,nanettebarragc3a1n,55
T000478,Claudia Tenney,New York's 22nd,2017-01-03,2019-01-01,Republican,claudiatenney,60
S001170,Carol Shea-Porter,New Hampshire's 1st,2017-01-03,2019-01-01,Democratic,carolsheaporter,63
D000627,Val Demings,Florida's 10th,2017-01-03,2019-01-01,Democratic,valdemings,73
H001078,Karen Handel,Georgia's 6th,2017-06-26,2019-01-01,Republican,karenhandel,81
L000589,Debbie Lesko,Arizona's 8th,2018-05-07,2019-01-01,Republican,debbielesko,41
