id,clean_name,wikidata_id
25432,cat smith,Q19930597
25433,rachael maskell,Q20127923
25434,holly lynch,Q20127909
25435,ruth smeeth,Q19586268
25436,amanda solloway,Q20648487
25439,anne-marie trevelyan,Q20648244
25489,gill furniss,Q24034408
25579,rosena allin-khan,Q24668273
25592,tracy brabin,Q7831699
25596,sarah olney,Q27942399
25597,caroline johnson,Q27979810
25600,trudy harrison,Q28834855
