id,full_name,party,gender,state,congressional terminology_x,congressional terminology_y,government budget_x,government budget_y,agriculture_x,agriculture_y,border enforcement_x,border enforcement_y,trade policy_x,trade policy_y,military_x,military_y,foreign policy_x,foreign policy_y,financial sector_x,financial sector_y,iraq & afghanistan wars_x,iraq & afghanistan wars_y,sports_x,sports_y,drugs war_x,drugs war_y,veteran affairs_x,veteran affairs_y,energy policy_x,energy policy_y,tobacco_x,tobacco_y,african-americans_x,african-americans_y,environment_x,environment_y,infrastructure & transportation_x,infrastructure & transportation_y,arts_x,arts_y,human rights in china_x,human rights in china_y,secondary education_x,secondary education_y,homeland security_x,homeland security_y,natural disasters_x,natural disasters_y,affordable housing_x,affordable housing_y,worker's rights_x,worker's rights_y,child welfare_x,child welfare_y,healthcare_x,healthcare_y
B000517,Lucien Blackwell,Democrat,0,PA,-1.000,8.357,-20.975,9.643,-203.471,0.116,-30.870,1.004,-39.385,2.413,-29.645,4.910,-1.000,3.877,-43.157,0.000,-97.083,0.302,-39.384,0.000,-138.761,0.459,-16.944,4.295,-39.479,0.000,-18.704,0.444,-14.999,9.429,-36.875,0.139,-40.232,0.184,-352.754,0.185,-23.549,1.597,-11.693,3.534,-33.880,0.074,-40.528,0.157,-3.030,1.700,-2.648,1.590,-76.842,0.582,-38.076,7.500
B000518,Rod Blagojevich,Democrat,0,IL,-5.259,21.325,-39.201,1.407,-219.174,0.213,-6.448,2.888,-10.933,2.847,-50.777,2.973,-3.000,10.286,-82.232,0.397,-84.560,1.559,-24.920,2.053,-16.387,0.953,-18.491,3.205,-135.090,0.631,-259.865,0.350,-3.000,9.643,-49.881,0.196,-68.256,1.555,-190.020,0.185,-201.417,0.642,-10.761,3.117,-7.617,4.753,-8.958,2.538,-390.485,0.214,-1.000,2.772,-22.175,1.316,-25.119,4.786
B000574,Earl Blumenauer,Democrat,0,OR,-16.502,21.428,-12.289,7.463,-19.993,2.537,-79.516,1.212,-50.261,2.938,-8.949,7.097,-20.149,3.742,-8.829,1.749,-45.949,1.467,-42.015,0.729,-194.355,0.481,-13.185,1.809,-10.968,4.500,-512.841,0.185,-35.202,2.378,-12.995,4.928,-4.997,4.944,-545.951,0.269,-128.290,0.441,-66.701,1.207,-23.782,3.427,-81.098,1.669,-35.441,1.051,-116.797,1.716,-10.341,1.326,-22.998,11.571
B000619,David Bonior,Democrat,0,MI,-8.999,13.286,-8.502,7.253,-181.906,0.753,-3.061,3.025,-11.980,4.301,-35.408,0.977,-10.874,6.029,-41.441,0.655,-209.678,0.624,-107.935,0.895,-567.162,0.333,-29.780,4.753,-140.614,0.332,-732.355,0.000,-29.816,4.103,-51.478,1.110,-69.068,0.463,-889.281,0.000,-5.690,2.087,-5.771,2.361,-66.024,1.011,-261.883,0.344,-303.320,0.371,-3.000,8.357,-8.127,1.331,-18.917,13.286
B000639,David Boren,Democrat,0,OK,-20.433,51.214,-1.000,21.857,-49.264,0.000,-154.729,0.683,-1.000,18.214,-42.169,0.000,-33.074,0.000,-20.996,4.286,-27.669,0.000,-24.827,0.910,-50.125,0.000,-43.916,0.000,-131.834,0.377,-48.845,0.000,-41.897,0.000,-76.184,1.436,-76.487,0.120,-284.248,0.185,-55.367,0.000,-39.329,0.000,-39.732,0.000,-108.738,0.691,-48.496,0.100,-2.351,0.294,-144.388,1.055,-1.000,1.087
B000644,Robert Borski,Democrat,0,PA,-11.000,26.357,-11.594,6.442,-160.637,0.764,-64.348,0.926,-65.637,1.406,-12.768,4.312,-30.066,4.060,-173.326,0.201,-75.740,1.560,-21.548,0.796,-539.539,0.191,-14.883,4.120,-154.225,0.648,-303.467,0.185,-21.155,3.917,-4.999,4.939,-1.000,8.143,-16.781,0.352,-36.408,0.527,-98.115,1.363,-11.365,3.577,-15.792,1.186,-23.340,0.892,-1.000,2.343,-146.562,0.750,-8.727,8.323
B000652,Leonard Boswell,Democrat,0,IA,-8.456,28.261,-45.264,1.996,-3.000,6.643,-4.290,0.978,-174.273,0.933,-8.706,6.232,-1.974,1.947,-25.589,1.370,-59.169,1.808,-15.727,2.068,-222.282,0.558,-16.998,12.214,-34.813,2.877,-2.355,0.206,-60.607,2.173,-138.969,1.042,-165.652,0.914,-227.428,0.371,-9.722,1.061,-59.782,2.434,-4.999,10.929,-25.263,2.518,-194.607,0.225,-16.646,1.986,-180.981,0.318,-2.998,12.000
B000657,Frederick Boucher,Democrat,0,VA,-3.000,74.143,-24.030,0.337,-174.757,0.441,-88.287,0.564,-123.425,0.422,-76.849,0.636,-11.287,0.828,-4.429,2.780,-195.670,0.361,-127.775,0.869,-588.168,0.000,-6.220,1.806,-2.999,5.578,-4.408,1.501,-16.598,2.328,-25.069,3.002,-4.999,6.857,-2.915,1.501,-43.400,0.336,-115.786,0.903,-1.000,33.857,-39.165,1.071,-424.628,0.186,-68.954,0.000,-141.487,0.342,-29.193,2.949
B000716,Allen Boyd,Democrat,0,FL,-7.703,22.213,-3.000,22.286,-5.036,2.854,-56.378,0.177,-90.772,1.461,-24.654,5.786,-48.949,1.357,-104.899,1.232,-113.855,1.827,-131.378,0.224,-614.165,0.000,-14.998,12.643,-174.718,0.389,-280.476,0.360,-24.652,2.025,-9.367,1.470,-148.057,0.794,-896.067,0.185,-428.780,0.000,-80.804,2.438,-73.639,2.681,-27.584,2.194,-501.869,0.199,-127.281,0.890,-104.733,0.610,-7.930,3.263
B000780,John Breaux,Democrat,0,LA,-10.999,0.000,-26.438,0.000,-56.776,0.000,-51.360,0.000,-50.410,0.002,-45.717,0.195,-25.794,0.175,-56.049,0.000,-36.459,0.195,-49.641,0.000,-57.053,0.204,-50.121,0.000,-50.073,0.000,-55.775,0.000,-49.898,0.000,-52.674,0.000,-49.340,0.000,-54.290,0.152,-60.770,0.190,-50.477,0.181,-45.734,0.000,-55.919,0.010,-55.443,0.098,-55.387,0.000,-53.575,0.141,-34.824,0.000
B000817,William Brewster,Democrat,0,OK,-12.999,46.714,-1.000,13.500,-264.425,0.382,-108.538,1.304,-90.392,1.091,-66.895,0.000,-73.003,1.224,-58.047,0.000,-47.531,0.524,-65.884,0.377,-53.055,1.323,-1.000,0.200,-17.417,3.297,-74.602,0.322,-22.963,3.353,-47.930,2.718,-14.659,2.220,-208.340,0.318,-10.227,0.633,-99.655,0.820,-16.990,0.555,-55.585,1.893,-467.890,0.313,-13.374,3.281,-41.074,1.885,-9.000,21.000
B000880,Jack Brooks,Democrat,0,TX,-1.000,120.214,-1.000,1.224,-60.105,0.000,-132.562,0.806,-184.401,0.857,-10.661,0.666,-13.713,0.556,-2.996,4.081,-86.636,0.215,-11.011,0.073,-272.012,0.371,-1.000,0.631,-210.999,0.185,-31.079,0.224,-24.307,0.566,-61.092,0.302,-96.934,0.784,-933.869,0.000,-492.912,0.000,-66.564,0.609,-4.889,6.482,-153.773,0.000,-186.175,0.108,-1.000,0.160,-110.188,0.333,-2.999,0.643
B000897,John Browder,Democrat,0,AL,-14.999,27.643,-10.997,10.714,-21.541,1.768,-28.025,2.165,-36.912,0.659,-5.000,36.214,-63.416,2.395,-130.444,0.000,-82.701,1.479,-12.335,0.238,-420.234,0.371,-16.998,16.929,-168.419,0.112,-175.235,0.202,-17.361,3.991,-2.007,3.170,-91.689,0.860,-55.627,0.575,-66.027,0.119,-28.329,0.923,-31.915,0.639,-42.084,1.632,-210.368,0.658,-101.798,0.203,-188.769,0.326,-1.000,2.617
B000918,George Brown,Democrat,0,CA,-1.000,74.143,-37.715,4.136,-87.710,1.321,-46.531,0.819,-63.114,2.297,-8.682,5.809,-76.841,0.510,-110.493,0.514,-102.742,0.785,-129.643,0.549,-397.461,0.175,-16.698,1.593,-1.000,3.267,-407.551,0.000,-1.000,4.903,-1.000,13.714,-57.489,2.276,-4.461,0.531,-347.206,0.371,-49.942,2.893,-3.000,9.644,-98.456,0.832,-372.151,0.349,-109.908,1.150,-271.812,0.430,-27.019,2.789
